no,dev-id,alias,channel,mac_address,alias_info
128,ATK00162A8365B9,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, HTS",GOTV-Basic Lokal & International,00:16:2a:83:65:b9,HTS
112,ATK00162A83656F,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Menara Astra Marubeni-lobi 51",11,00:16:2a:83:65:6f,Menara Astra Marubeni-lobi 51
117,ATK00162A8364DA,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:64:da,Stock stb from ibs ancol
108,ATK00162A836570,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Menara Astra - AI 59 - Public Area 1",11,00:16:2a:83:65:70,Menara Astra - AI 59 - Public Area 1
110,ATK00162A83656E,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Menara Astra Argo Lestari-57",11,00:16:2a:83:65:6e,Menara Astra Argo Lestari-57
106,ATK00162A83656D,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Menara Astra - AI - Public Area 1 - 58",11,00:16:2a:83:65:6d,Menara Astra - AI - Public Area 1 - 58
104,ATK00162A83659D,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:65:9d,Stock stb from ibs ancol
176,ATK00162A836511,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, TIS Kelapa Gading",GOTV-Basic Lokal & International,00:16:2a:83:65:11,TIS Kelapa Gading
107,ATK00162A8365A2,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Duyung",GOTV-Basic Lokal & International,00:16:2a:83:65:a2,IBS P. Duyung
102,ATK00162A8365A1,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, TIS Kelapa Gading",GOTV-Basic Lokal & International,00:16:2a:83:65:a1,TIS Kelapa Gading
